
2022-05-10  01.38.21    SMA2    bin = 5    fee = 0.0003 - 0.003    2022-05-04 ~  (5) days

1602 loaded. (5 days)
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 96.0,
    "smaLength2": 42.0,
    "stopX": 0.0499999933,
    "tryCount": 15.0,
    "succeedCount": 8.0,
    "failedCount": 7.0,
    "finalPercent": 1.01028
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 120.0,
    "smaLength2": 24.0,
    "stopX": 0.015,
    "tryCount": 17.0,
    "succeedCount": 7.0,
    "failedCount": 10.0,
    "finalPercent": 1.01029706
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 108.0,
    "smaLength2": 30.0,
    "stopX": 0.02,
    "tryCount": 17.0,
    "succeedCount": 6.0,
    "failedCount": 11.0,
    "finalPercent": 1.0105865
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 114.0,
    "smaLength2": 39.0,
    "stopX": 0.0249999985,
    "tryCount": 15.0,
    "succeedCount": 7.0,
    "failedCount": 8.0,
    "finalPercent": 1.01152658
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 114.0,
    "smaLength2": 57.0,
    "stopX": 0.02,
    "tryCount": 13.0,
    "succeedCount": 5.0,
    "failedCount": 8.0,
    "finalPercent": 1.01180828
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 108.0,
    "smaLength2": 30.0,
    "stopX": 0.015,
    "tryCount": 17.0,
    "succeedCount": 5.0,
    "failedCount": 12.0,
    "finalPercent": 1.01196647
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 72.0,
    "smaLength2": 21.0,
    "stopX": 0.015,
    "tryCount": 25.0,
    "succeedCount": 14.0,
    "failedCount": 11.0,
    "finalPercent": 1.01222444
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 108.0,
    "smaLength2": 36.0,
    "stopX": 0.0449999943,
    "tryCount": 15.0,
    "succeedCount": 7.0,
    "failedCount": 8.0,
    "finalPercent": 1.01239038
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 66.0,
    "smaLength2": 27.0,
    "stopX": 0.0349999964,
    "tryCount": 22.0,
    "succeedCount": 13.0,
    "failedCount": 9.0,
    "finalPercent": 1.0128293
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 66.0,
    "smaLength2": 33.0,
    "stopX": 0.015,
    "tryCount": 20.0,
    "succeedCount": 11.0,
    "failedCount": 9.0,
    "finalPercent": 1.01341462
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 102.0,
    "smaLength2": 45.0,
    "stopX": 0.0349999964,
    "tryCount": 13.0,
    "succeedCount": 3.0,
    "failedCount": 10.0,
    "finalPercent": 1.01357818
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 114.0,
    "smaLength2": 30.0,
    "stopX": 0.0249999985,
    "tryCount": 17.0,
    "succeedCount": 9.0,
    "failedCount": 8.0,
    "finalPercent": 1.01367843
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 114.0,
    "smaLength2": 27.0,
    "stopX": 0.0499999933,
    "tryCount": 17.0,
    "succeedCount": 8.0,
    "failedCount": 9.0,
    "finalPercent": 1.01385021
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 120.0,
    "smaLength2": 51.0,
    "stopX": 0.02,
    "tryCount": 15.0,
    "succeedCount": 7.0,
    "failedCount": 8.0,
    "finalPercent": 1.01395476
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 102.0,
    "smaLength2": 45.0,
    "stopX": 0.0249999985,
    "tryCount": 13.0,
    "succeedCount": 3.0,
    "failedCount": 10.0,
    "finalPercent": 1.014856
  },
  {
    "binSize": 5.0,
    "makerFee": 0.0003,
    "takerFee": 0.003,
    "smaLength1": 72.0,
    "smaLength2": 27.0,
    "stopX": 0.01,
    "tryCount": 24.0,
